인덱스,팀명,YEAR,종합순위,ERA(투수),G(투수),W(투수),L(투수),SV(투수),HLD(투수),WPCT(투수),IP(투수),H(투수),HR(투수),BB(투수),HBP(투수),SO(투수),R(투수),ER(투수),WHIP(투수),CG(투수),SHO(투수),QS(투수),BSV(투수),TBF(투수),NP(투수),AVG(투수),2B(투수),3B(투수),SAC(투수),SF(투수),IBB(투수),WP(투수),BK(투수),AVG(타자),PA(타자),AB(타자),R(타자),H(타자),2B(타자),3B(타자),HR(타자),TB(타자),RBI(타자),SAC(타자),SF(타자),BB(타자),IBB(타자),HBP(타자),SO(타자),GDP(타자),SLG(타자),OBP(타자),OPS(타자),MH(타자),RISP(타자),PH-BA(타자),E(수비),PKO(수비),PO(수비),A(수비),DP(수비),FPCT(수비),PB(수비),SB(수비),CS(수비),CS%(수비),SBA(수비),SB(주루),CS(주루),SB%(주루),OOB(주루),PKO(주루),순위등락,ERA(투수)_현재성장,G(투수)_현재성장,W(투수)_현재성장,L(투수)_현재성장,SV(투수)_현재성장,HLD(투수)_현재성장,WPCT(투수)_현재성장,IP(투수)_현재성장,H(투수)_현재성장,HR(투수)_현재성장,BB(투수)_현재성장,HBP(투수)_현재성장,SO(투수)_현재성장,R(투수)_현재성장,ER(투수)_현재성장,WHIP(투수)_현재성장,CG(투수)_현재성장,SHO(투수)_현재성장,QS(투수)_현재성장,BSV(투수)_현재성장,TBF(투수)_현재성장,NP(투수)_현재성장,AVG(투수)_현재성장,2B(투수)_현재성장,3B(투수)_현재성장,SAC(투수)_현재성장,SF(투수)_현재성장,IBB(투수)_현재성장,WP(투수)_현재성장,BK(투수)_현재성장,AVG(타자)_현재성장,PA(타자)_현재성장,AB(타자)_현재성장,R(타자)_현재성장,H(타자)_현재성장,2B(타자)_현재성장,3B(타자)_현재성장,HR(타자)_현재성장,TB(타자)_현재성장,RBI(타자)_현재성장,SAC(타자)_현재성장,SF(타자)_현재성장,BB(타자)_현재성장,IBB(타자)_현재성장,HBP(타자)_현재성장,SO(타자)_현재성장,GDP(타자)_현재성장,SLG(타자)_현재성장,OBP(타자)_현재성장,OPS(타자)_현재성장,MH(타자)_현재성장,RISP(타자)_현재성장,PH-BA(타자)_현재성장,E(수비)_현재성장,PKO(수비)_현재성장,PO(수비)_현재성장,A(수비)_현재성장,DP(수비)_현재성장,FPCT(수비)_현재성장,PB(수비)_현재성장,SB(수비)_현재성장,CS(수비)_현재성장,CS%(수비)_현재성장,SBA(수비)_현재성장,SB(주루)_현재성장,CS(주루)_현재성장,SB%(주루)_현재성장,OOB(주루)_현재성장,PKO(주루)_현재성장,ERA(투수)_1년전성장,G(투수)_1년전성장,W(투수)_1년전성장,L(투수)_1년전성장,SV(투수)_1년전성장,HLD(투수)_1년전성장,WPCT(투수)_1년전성장,IP(투수)_1년전성장,H(투수)_1년전성장,HR(투수)_1년전성장,BB(투수)_1년전성장,HBP(투수)_1년전성장,SO(투수)_1년전성장,R(투수)_1년전성장,ER(투수)_1년전성장,WHIP(투수)_1년전성장,CG(투수)_1년전성장,SHO(투수)_1년전성장,QS(투수)_1년전성장,BSV(투수)_1년전성장,TBF(투수)_1년전성장,NP(투수)_1년전성장,AVG(투수)_1년전성장,2B(투수)_1년전성장,3B(투수)_1년전성장,SAC(투수)_1년전성장,SF(투수)_1년전성장,IBB(투수)_1년전성장,WP(투수)_1년전성장,BK(투수)_1년전성장,AVG(타자)_1년전성장,PA(타자)_1년전성장,AB(타자)_1년전성장,R(타자)_1년전성장,H(타자)_1년전성장,2B(타자)_1년전성장,3B(타자)_1년전성장,HR(타자)_1년전성장,TB(타자)_1년전성장,RBI(타자)_1년전성장,SAC(타자)_1년전성장,SF(타자)_1년전성장,BB(타자)_1년전성장,IBB(타자)_1년전성장,HBP(타자)_1년전성장,SO(타자)_1년전성장,GDP(타자)_1년전성장,SLG(타자)_1년전성장,OBP(타자)_1년전성장,OPS(타자)_1년전성장,MH(타자)_1년전성장,RISP(타자)_1년전성장,PH-BA(타자)_1년전성장,E(수비)_1년전성장,PKO(수비)_1년전성장,PO(수비)_1년전성장,A(수비)_1년전성장,DP(수비)_1년전성장,FPCT(수비)_1년전성장,PB(수비)_1년전성장,SB(수비)_1년전성장,CS(수비)_1년전성장,CS%(수비)_1년전성장,SBA(수비)_1년전성장,SB(주루)_1년전성장,CS(주루)_1년전성장,SB%(주루)_1년전성장,OOB(주루)_1년전성장,PKO(주루)_1년전성장,순위등락_1년전성장
2009롯데,롯데,2009,4,4.75,133,66,67,0,37,0.496,1162 1/3,1290,139,487,67,722,669,613,1.53,6,13,52,7,5165,18777,0.287,241,14,67,42,35,49,3,0.277,5053,4420,637,1223,252,15,121,1868,597,60,49,456,9,68,816,121,0.423,0.35,0.773,133,0.273,0.188,96,9,3487,1523,152,0.981,9,113,49,30.2,151,106,45,70.2,69,6,-1,1.11,7,-3,10,0,-1,-0.052,43.33333333,156,69,78,20,51,151,160,0.15,-3,8,-16,-4,396,1416,0.017,45,-8,-11,2,3,7,1,-0.005,163,164,13,23,53,-7,28,146,7,-2,-2,11,-4,-8,88,24,0.018,-0.006,0.012,7,0,-0.001,4,6,130,16,-3,0,2,1,-6,-2.7,-50,-27,-23,4,-8,-3,-0.48,0,14,-11,0,14,0.101,-1.666666667,-30,-23,-5,-22,-33,-36,-60,-0.03,7,-4,9,-1,-102,-1064,-0.004,12,3,-17,-3,-8,-4,-2,0.012,-4,-17,91,48,6,4,17,113,89,-42,12,40,-21,3,-35,10,0.028,0.016,0.044,0,-0.009,-0.073,10,-11,-5,63,37,-0.002,-3,32,17,0.7,88,66,22,6.9,21,6,4
2009삼성,삼성,2009,5,4.98,133,64,69,0,45,0.481,1163 2/3,1226,141,609,56,905,700,644,1.58,3,2,45,14,5209,20355,0.278,225,24,80,51,9,67,1,0.275,5220,4459,685,1224,233,15,146,1925,650,67,43,584,23,67,789,108,0.432,0.364,0.796,133,0.275,0.266,80,10,3491,1368,136,0.984,8,142,56,28.3,175,125,50,71.4,64,8,-1,0.58,7,-1,8,0,-3,-0.035,40.33333333,42,54,193,13,202,104,95,0.16,3,-4,18,7,342,1823,0.003,16,6,26,10,5,18,-3,0.017,361,279,128,146,47,-1,54,353,130,-3,5,79,8,2,90,-7,0.056,0.02,0.076,9,0.001,0.06,11,1,121,-19,17,-0.002,-1,18,-3,-3.9,79,66,13,9.9,11,2,0.69,0,3,1,0,-3,0.008,-8.333333333,93,-3,16,-15,-16,87,83,0.1,0,-5,-15,1,43,-74,0.017,22,-2,-40,-5,-3,14,-1,0.004,-36,-6,60,16,-5,7,6,43,51,-25,-1,-6,-13,2,21,22,0.011,0.003,0.014,-1,0.036,-0.067,-18,1,-25,-44,6,0.004,1,54,16,-5.9,-51,-42,-9,-7.2,12,0,0
2009히어로즈,히어로즈,2009,6,5.4,133,60,72,0,32,0.455,1174 1/3,1231,176,565,61,840,762,705,1.53,0,5,44,14,5221,20576,0.274,251,15,73,33,19,51,5,0.272,5211,4486,683,1219,228,20,153,1946,650,64,48,547,24,63,905,116,0.434,0.356,0.79,133,0.26,0.199,90,6,3523,1459,141,0.982,16,138,48,25.8,259,192,67,74.1,50,8,,0.07,0.85840708,0.849557522,0.212389381,2.734513274,2.628318584,0.002283186,7.542772861,21.15044248,0.911504425,7.097345133,-0.761061947,4.769911504,14.85840708,13.80530973,0.013893805,-0.247787611,-0.123893805,-0.132743363,1.115044248,49.42477876,196.4778761,0.00199115,3.03539823,0.522123894,-0.513274336,1.185840708,-0.601769912,1.477876106,0.203539823,0.002477876,52.54867257,41.98230088,16.99115044,23.38938053,3.097345133,0.362831858,1.327433628,31.19469027,15.76106195,0.132743363,1.451327434,8.911504425,-0.451327434,0.123893805,1.681415929,1.539823009,0.002831858,0.002654867,0.005486726,0.867256637,0.002849558,0.005017699,0.814159292,0.008849558,22.62831858,6.309734513,1.03539823,-6.19E-05,-0.159292035,0.03539823,0.008849558,-0.045132743,-0.415929204,-0.610619469,0.194690265,-0.14159292,0.85840708,0.07079646,0.040882353,0.950980392,1.098039216,0.117647059,2.637254902,2.098039216,0.003637255,8.052287582,15.51960784,0.794117647,5.990196078,0.078431373,13.42156863,10.34313725,9.784313725,0.007843137,-0.176470588,0.215686275,0.37254902,1.019607843,44.88235294,197.8333333,0.001166667,3.18627451,0.098039216,1.137254902,0.549019608,-0.166666667,2.225490196,0.088235294,0.001754902,48.47058824,35.66666667,14.32352941,18.00980392,3.392156863,-0.029411765,1.705882353,26.46078431,13.15686275,2.215686275,0.931372549,8.715686275,-0.009803922,1,9.558823529,1.431372549,0.002411765,0.002215686,0.004627451,0.931372549,0.001735294,0.002823529,0.441176471,0.264705882,24.15686275,6.715686275,0.960784314,1.96E-05,-0.176470588,1.107843137,-0.431372549,-0.491176471,1.049019608,0.931372549,0.117647059,0.144117647,0.911764706,0.352941176,0.019607843
2009LG,LG,2009,7,5.42,133,54,75,0,38,0.419,1175,1316,165,585,91,777,763,707,1.62,0,3,44,11,5339,20615,0.29,241,20,85,43,10,56,1,0.278,5248,4505,670,1251,182,21,129,1862,627,97,45,552,28,49,781,124,0.413,0.36,0.773,133,0.265,0.261,84,9,3525,1514,153,0.984,13,136,49,26.5,188,141,47,75,56,6,1,0.57,7,8,-5,0,-2,0.054,66.66666667,77,83,105,19,146,117,110,0.07,-1,-6,2,1,363,2007,0.002,16,-21,8,4,6,10,-2,0.022,505,321,202,181,18,-2,63,384,180,12,-5,188,22,-10,16,34,0.06,0.039,0.099,7,0.016,0.004,8,-4,200,149,35,0,6,49,-2,-10.5,32,30,2,3.8,8,-2,0.52,0,-12,18,0,-18,-0.118,-27.33333333,58,19,-34,20,1,46,50,0.06,-1,0,-16,-6,-38,-733,0.013,10,14,-28,-16,-17,-2,1,-0.012,-190,-138,-64,-90,-22,4,-12,-140,-61,-4,7,-67,-18,11,61,-17,-0.021,-0.017,-0.038,0,-0.013,-0.009,-18,4,-82,-98,-32,0.003,-2,31,12,-4.1,-20,-19,-1,-2.7,0,-3,-3
2009한화,한화,2009,8,5.7,133,46,84,0,34,0.354,1174,1335,176,569,77,908,805,743,1.62,4,2,32,9,5346,20758,0.292,205,23,65,56,28,56,5,0.269,5273,4620,657,1241,211,13,164,1970,629,43,31,498,16,81,1017,126,0.426,0.348,0.774,133,0.264,0.258,94,10,3522,1417,146,0.981,11,174,56,24.3,89,69,20,77.5,38,5,-3,1.27,7,-18,22,0,-5,-0.154,44.33333333,199,81,50,28,185,210,187,0.15,1,-3,-12,-1,435,1767,0.023,31,7,-9,10,0,19,1,0.015,391,345,65,155,7,-7,44,280,63,-9,-4,35,-1,24,247,26,0.031,0.015,0.046,9,-0.019,0.063,33,2,133,-40,-4,-0.007,2,3,1,0,-33,-28,-5,-2,0,1,0.89,0,-3,5,0,3,-0.032,10.66666667,52,11,68,-4,-18,114,116,0.1,-6,0,-22,-2,130,677,0.008,-8,10,-8,10,4,-1,0,0,77,147,58,36,39,7,16,137,64,-35,7,-43,0,1,65,-28,0.019,-0.009,0.01,0,0.012,-0.021,-15,-1,32,-11,32,0.004,6,47,-19,-13.1,53,49,4,9.9,-5,-1,-2
2008SK,SK,2008,1,3.22,126,83,43,0,72,0.659,1151,1053,78,448,55,801,461,412,1.3,1,10,52,16,4855,18607,0.248,127,14,70,32,13,35,2,0.282,5003,4332,632,1222,215,23,89,1750,591,80,38,491,15,62,735,99,0.404,0.361,0.765,126,0.278,0.289,102,9,3453,1464,133,0.98,6,89,65,42.2,253,170,83,67.2,52,7,0,-0.02,0,10,-5,0,-5,0.056,11.66666667,-26,1,3,-12,151,-4,2,-0.04,0,0,-6,7,3,182,-0.008,-14,7,-24,0,-14,7,1,0.018,122,96,29,104,3,3,-23,44,23,-7,-2,49,-7,-14,-15,13,0.001,0.02,0.021,1,-0.005,0.066,14,6,35,-39,-19,-0.002,5,18,15,0.9,49,34,15,0.5,2,-2,-0.56,0,13,-17,0,25,0.123,15.33333333,8,-8,-1,-16,-51,-70,-65,-0.01,1,4,11,-7,33,125,-0.003,-31,-4,-25,-1,3,2,-1,0.01,88,59,94,59,41,1,13,141,80,-9,7,18,3,13,-109,2,0.028,0.012,0.04,-1,0.037,-0.031,-2,-5,46,67,15,0,-5,-50,0,12.1,40,19,21,-4.6,-8,-2,5
2008두산,두산,2008,2,3.89,126,70,56,0,37,0.556,1134 2/3,1115,78,379,69,780,542,490,1.32,0,8,41,14,4857,18259,0.259,192,29,66,45,13,45,5,0.276,4975,4344,647,1198,166,37,68,1642,598,36,44,472,23,78,719,115,0.378,0.354,0.732,126,0.278,0.31,92,5,3404,1325,111,0.981,12,109,46,29.7,252,189,63,75,47,8,0,0.45,0,0,2,0,-5,-0.009,3.333333333,48,4,-20,-6,59,62,58,0.02,-6,-6,-16,3,43,-205,0.007,5,12,-13,11,-11,2,1,0.013,119,145,69,95,-43,5,-10,32,55,-32,-7,23,2,-10,-29,13,-0.005,0.011,0.006,0,0.009,0.173,19,2,10,-8,-4,-0.004,-3,4,8,3.1,32,28,4,1.8,-15,-4,0.08,0,7,-6,0,13,0.053,15.66666667,99,5,-25,6,-113,13,16,0.05,-1,4,-10,-1,124,537,0.012,29,-1,-38,-13,11,-12,3,0.005,148,52,123,35,57,4,23,169,118,-13,24,81,7,5,113,0,0.036,0.015,0.051,0,0.011,-0.039,-22,-4,47,27,5,0.005,-4,-3,-9,-3.7,31,29,2,3.4,-10,4,3
2008롯데,롯데,2008,3,3.64,126,69,57,0,38,0.548,1119,1134,70,409,47,671,518,453,1.38,9,5,68,11,4769,17361,0.27,196,22,78,40,32,42,2,0.282,4890,4256,624,1200,199,22,93,1722,590,62,51,445,13,76,728,97,0.405,0.356,0.761,126,0.273,0.189,92,3,3357,1507,155,0.981,7,112,55,32.9,201,133,68,66.2,77,9,4,-0.48,0,14,-11,0,14,0.101,-1.666666667,-30,-23,-5,-22,-33,-36,-60,-0.03,7,-4,9,-1,-102,-1064,-0.004,12,3,-17,-3,-8,-4,-2,0.012,-4,-17,91,48,6,4,17,113,89,-42,12,40,-21,3,-35,10,0.028,0.016,0.044,0,-0.009,-0.073,10,-11,-5,63,37,-0.002,-3,32,17,0.7,88,66,22,6.9,21,6,0.26,0,5,-5,0,-10,0.04,2,36,10,4,9,67,13,33,0.04,-3,0,-5,-6,49,337,0.006,-26,7,-5,5,10,16,3,0.02,128,136,45,118,20,15,-12,132,38,-20,18,-13,17,8,-52,3,0.02,0.013,0.033,1,0.014,0.078,-2,4,6,-85,-5,0,-3,10,-10,-8.5,10,5,5,-0.9,-12,-4,0
2008삼성,삼성,2008,4,4.4,126,65,61,0,48,0.516,1123 1/3,1184,87,416,43,703,596,549,1.42,0,6,27,7,4867,18532,0.275,209,18,54,41,4,49,4,0.258,4859,4180,557,1078,186,16,92,1572,520,70,38,505,15,65,699,115,0.376,0.344,0.72,124,0.274,0.206,69,9,3370,1387,119,0.986,9,124,59,32.2,96,59,37,61.5,53,6,0,0.69,0,3,1,0,-3,0.008,-8.333333333,93,-3,16,-15,-16,87,83,0.1,0,-5,-15,1,43,-74,0.017,22,-2,-40,-5,-3,14,-1,0.004,-36,-6,60,16,-5,7,6,43,51,-25,-1,-6,-13,2,21,22,0.011,0.003,0.014,-1,0.036,-0.067,-18,1,-25,-44,6,0.004,1,54,16,-5.9,-51,-42,-9,-7.2,12,0,0.38,0,-11,10,0,-14,-0.085,13.66666667,61,-10,35,-5,-62,38,52,0.07,-1,-4,-14,-7,125,568,0.009,2,10,-4,18,-2,14,-2,-0.001,116,95,-41,19,-1,0,13,57,-36,5,-3,34,14,-16,-11,-14,0.005,0,0.005,-1,-0.016,0.027,11,5,41,138,19,-0.002,3,-8,-5,0,-26,-20,-6,-1.2,-15,0,-3
2008한화,한화,2008,5,4.43,126,64,62,0,39,0.508,1129 2/3,1136,95,519,49,723,595,556,1.47,3,5,44,10,4911,18991,0.269,174,16,74,46,28,37,4,0.254,4882,4275,592,1086,204,20,120,1690,566,52,35,463,17,57,770,100,0.395,0.333,0.728,124,0.283,0.195,61,8,3389,1457,150,0.988,9,171,55,24.3,122,97,25,79.5,38,4,-2,0.89,0,-3,5,0,3,-0.032,10.66666667,52,11,68,-4,-18,114,116,0.1,-6,0,-22,-2,130,677,0.008,-8,10,-8,10,4,-1,0,0,77,147,58,36,39,7,16,137,64,-35,7,-43,0,1,65,-28,0.019,-0.009,0.01,0,0.012,-0.021,-15,-1,32,-11,32,0.004,6,47,-19,-13.1,53,49,4,9.9,-5,-1,0.19,0,0,0,0,-11,0,-2.333333333,7,-10,78,4,-19,6,22,0.08,-2,-9,10,-1,50,550,0.004,16,-5,-12,18,7,1,2,0.001,36,-42,23,-7,-26,10,-6,-31,21,19,-2,64,4,-3,-95,8,-0.004,0.011,0.007,1,0.031,0.021,-8,3,-7,47,13,0.001,-4,1,23,8.1,-24,-17,-7,-0.3,2,2,-1
2008KIA,KIA,2008,6,4.08,126,57,69,0,26,0.452,1124,1078,65,473,77,733,555,510,1.38,3,9,58,10,4850,18391,0.256,180,19,50,42,9,52,5,0.26,4832,4210,503,1095,188,28,48,1483,465,85,35,453,14,48,642,97,0.352,0.336,0.688,126,0.251,0.217,75,5,3372,1481,129,0.985,6,143,54,27.4,196,131,65,66.8,62,11,2,-0.41,0,6,-5,0,-1,0.044,14.33333333,-31,-38,-53,-20,63,-47,-44,-0.09,1,3,15,4,-83,-461,-0.01,-64,2,-43,3,-19,-8,-2,0.003,21,6,4,15,-10,12,-25,-46,0,7,-10,25,7,-7,12,-20,-0.012,0.006,-0.006,0,0.009,0.061,-2,0,43,55,-2,0.001,-2,29,17,2.9,82,61,21,5.4,32,6,1.16,0,-13,15,0,-2,-0.112,-8.666666667,111,30,84,19,-65,151,140,0.18,0,-3,-6,-5,208,636,0.023,72,10,12,16,11,16,5,0.002,57,23,23,13,7,-6,11,41,34,-24,19,38,-13,0,-20,27,0.008,0.005,0.013,0,-0.005,-0.103,11,-3,-26,0,-2,-0.002,2,37,-2,-9.1,-22,-23,1,-7,-16,-3,-4
2008우리,우리,2008,7,4.43,126,50,76,0,36,0.397,1125 1/3,1159,91,465,70,729,609,554,1.44,4,10,57,15,4933,18768,0.269,209,29,52,39,20,46,2,0.266,4834,4317,499,1149,190,19,70,1587,471,51,33,396,20,37,713,114,0.368,0.331,0.699,126,0.27,0.237,100,10,3376,1403,121,0.98,10,123,58,32,154,97,57,63,44,10,,0.07,0.85840708,0.849557522,0.212389381,2.734513274,2.628318584,0.002283186,7.542772861,21.15044248,0.911504425,7.097345133,-0.761061947,4.769911504,14.85840708,13.80530973,0.013893805,-0.247787611,-0.123893805,-0.132743363,1.115044248,49.42477876,196.4778761,0.00199115,3.03539823,0.522123894,-0.513274336,1.185840708,-0.601769912,1.477876106,0.203539823,0.002477876,52.54867257,41.98230088,16.99115044,23.38938053,3.097345133,0.362831858,1.327433628,31.19469027,15.76106195,0.132743363,1.451327434,8.911504425,-0.451327434,0.123893805,1.681415929,1.539823009,0.002831858,0.002654867,0.005486726,0.867256637,0.002849558,0.005017699,0.814159292,0.008849558,22.62831858,6.309734513,1.03539823,-6.19E-05,-0.159292035,0.03539823,0.008849558,-0.045132743,-0.415929204,-0.610619469,0.194690265,-0.14159292,0.85840708,0.07079646,0.040882353,0.950980392,1.098039216,0.117647059,2.637254902,2.098039216,0.003637255,8.052287582,15.51960784,0.794117647,5.990196078,0.078431373,13.42156863,10.34313725,9.784313725,0.007843137,-0.176470588,0.215686275,0.37254902,1.019607843,44.88235294,197.8333333,0.001166667,3.18627451,0.098039216,1.137254902,0.549019608,-0.166666667,2.225490196,0.088235294,0.001754902,48.47058824,35.66666667,14.32352941,18.00980392,3.392156863,-0.029411765,1.705882353,26.46078431,13.15686275,2.215686275,0.931372549,8.715686275,-0.009803922,1,9.558823529,1.431372549,0.002411765,0.002215686,0.004627451,0.931372549,0.001735294,0.002823529,0.441176471,0.264705882,24.15686275,6.715686275,0.960784314,1.96E-05,-0.176470588,1.107843137,-0.431372549,-0.491176471,1.049019608,0.931372549,0.117647059,0.144117647,0.911764706,0.352941176,0.019607843
2008LG,LG,2008,8,4.85,126,46,80,0,40,0.365,1108 1/3,1239,82,480,72,631,646,597,1.55,1,9,42,10,4976,18608,0.288,225,41,77,39,4,46,3,0.256,4743,4184,468,1070,164,23,66,1478,447,85,50,364,6,59,765,90,0.353,0.321,0.674,126,0.249,0.257,76,13,3325,1365,118,0.984,7,87,51,37,156,111,45,71.2,48,8,-3,0.52,0,-12,18,0,-18,-0.118,-27.33333333,58,19,-34,20,1,46,50,0.06,-1,0,-16,-6,-38,-733,0.013,10,14,-28,-16,-17,-2,1,-0.012,-190,-138,-64,-90,-22,4,-12,-140,-61,-4,7,-67,-18,11,61,-17,-0.021,-0.017,-0.038,0,-0.013,-0.009,-18,4,-82,-98,-32,0.003,-2,31,12,-4.1,-20,-19,-1,-2.7,0,-3,0.11,0,11,-13,0,5,0.098,25.66666667,37,-24,75,-8,5,26,26,0.06,-1,-1,7,2,180,944,0.002,27,5,-10,22,-2,7,-1,0.022,209,105,75,123,5,3,-3,125,78,-3,11,101,5,-4,-109,21,0.02,0.032,0.052,1,0.03,0.058,12,0,77,81,18,-0.002,2,-8,-3,1.5,59,46,13,2.1,18,3,3
2007SK,SK,2007,1,3.24,126,73,48,0,77,0.603,1139 1/3,1079,77,445,67,650,465,410,1.34,1,10,58,9,4852,18425,0.256,141,7,94,32,27,28,1,0.264,4881,4236,603,1118,212,20,112,1706,568,87,40,442,22,76,750,86,0.403,0.341,0.744,125,0.283,0.223,88,3,3418,1503,152,0.982,1,71,50,41.3,204,136,68,66.7,50,9,5,-0.56,0,13,-17,0,25,0.123,15.33333333,8,-8,-1,-16,-51,-70,-65,-0.01,1,4,11,-7,33,125,-0.003,-31,-4,-25,-1,3,2,-1,0.01,88,59,94,59,41,1,13,141,80,-9,7,18,3,13,-109,2,0.028,0.012,0.04,-1,0.037,-0.031,-2,-5,46,67,15,0,-5,-50,0,12.1,40,19,21,-4.6,-8,-2,0.39,0,-10,15,0,2,-0.103,-13,66,-18,24,-16,-142,50,44,0.09,-2,-4,-3,16,-3,-522,0.019,12,0,31,10,10,-5,1,-0.015,-191,-53,-80,-80,-3,7,-23,-138,-71,-40,-5,-71,-8,-22,53,-4,-0.028,-0.026,-0.054,0,-0.003,-0.011,10,-2,-39,115,34,-0.001,-3,39,-12,-13.9,9,16,-7,6.1,0,-4,-3
2007두산,두산,2007,2,3.44,126,70,54,0,42,0.565,1131 1/3,1067,74,399,75,721,480,432,1.3,6,14,57,11,4814,18464,0.252,187,17,79,34,24,43,4,0.263,4856,4199,578,1103,209,32,78,1610,543,68,51,449,21,88,748,102,0.383,0.343,0.726,126,0.269,0.137,73,3,3394,1333,115,0.985,15,105,38,26.6,220,161,59,73.2,62,12,3,0.08,0,7,-6,0,13,0.053,15.66666667,99,5,-25,6,-113,13,16,0.05,-1,4,-10,-1,124,537,0.012,29,-1,-38,-13,11,-12,3,0.005,148,52,123,35,57,4,23,169,118,-13,24,81,7,5,113,0,0.036,0.015,0.051,0,0.011,-0.039,-22,-4,47,27,5,0.005,-4,-3,-9,-3.7,31,29,2,3.4,-10,4,-0.06,0,-9,9,0,-22,-0.073,-9.333333333,-70,-21,-16,-8,16,2,-11,-0.06,5,-4,12,12,-84,-79,-0.011,10,12,35,14,0,-1,-1,-0.012,-214,-109,-141,-79,-31,11,-8,-112,-133,0,-8,-97,0,-2,-66,9,-0.018,-0.023,-0.041,0,-0.017,0.012,15,0,-28,7,-39,-0.003,7,22,11,0.8,36,29,7,2.5,21,4,-3
2007한화,한화,2007,3,3.54,126,67,57,0,36,0.54,1119,1084,84,451,53,741,481,440,1.37,9,5,66,12,4781,18314,0.261,182,6,82,36,24,38,4,0.254,4805,4128,534,1050,165,13,104,1553,502,87,28,506,17,56,705,128,0.376,0.342,0.718,124,0.271,0.216,76,9,3357,1468,118,0.984,3,124,74,37.4,69,48,21,69.6,43,5,-1,0.19,0,0,0,0,-11,0,-2.333333333,7,-10,78,4,-19,6,22,0.08,-2,-9,10,-1,50,550,0.004,16,-5,-12,18,7,1,2,0.001,36,-42,23,-7,-26,10,-6,-31,21,19,-2,64,4,-3,-95,8,-0.004,0.011,0.007,1,0.031,0.021,-8,3,-7,47,13,0.001,-4,1,23,8.1,-24,-17,-7,-0.3,2,2,-1.06,0,3,-4,0,4,0.028,10.33333333,-116,-17,-16,-39,98,-128,-127,-0.13,9,8,1,13,-139,-649,-0.022,-21,-5,15,-27,8,2,0,-0.017,-72,-134,-111,-106,-20,-6,-49,-285,-113,37,-1,42,1,-16,-24,-1,-0.054,-0.01,-0.064,-3,-0.021,-0.025,-26,2,31,-58,-22,0.005,0,-7,-3,0,7,3,4,-2.2,8,1,2
2007삼성,삼성,2007,4,3.71,126,62,60,0,51,0.508,1131 2/3,1091,90,400,58,719,509,466,1.32,0,11,42,6,4824,18606,0.258,187,20,94,46,7,35,5,0.254,4895,4186,497,1062,191,9,86,1529,469,95,39,511,28,63,678,93,0.365,0.341,0.706,125,0.238,0.273,87,8,3395,1431,113,0.982,8,70,43,38.1,147,101,46,68.7,41,6,-3,0.38,0,-11,10,0,-14,-0.085,13.66666667,61,-10,35,-5,-62,38,52,0.07,-1,-4,-14,-7,125,568,0.009,2,10,-4,18,-2,14,-2,-0.001,116,95,-41,19,-1,0,13,57,-36,5,-3,34,14,-16,-11,-14,0.005,0,0.005,-1,-0.016,0.027,11,5,41,138,19,-0.002,3,-8,-5,0,-26,-20,-6,-1.2,-15,0,-0.5,0,-1,2,0,3,-0.014,-11.33333333,4,-9,-22,-16,-94,-57,-66,0,-1,8,16,13,-92,-542,0.005,-12,-11,5,5,-2,-28,2,-0.013,-196,-143,-76,-91,14,3,-38,-185,-70,-8,8,-23,-7,-30,-59,-5,-0.031,-0.016,-0.047,0,-0.011,0.042,-10,-2,-34,-68,-4,0.002,3,-5,11,7.3,38,24,14,-2,14,-1,0
2007LG,LG,2007,5,4.33,126,58,62,0,58,0.483,1135 2/3,1181,63,514,52,630,600,547,1.49,2,9,58,16,5014,19341,0.275,215,27,105,55,21,48,2,0.268,4933,4322,532,1160,186,19,78,1618,508,89,43,431,24,48,704,107,0.374,0.338,0.712,126,0.262,0.266,94,9,3407,1463,150,0.981,9,56,39,41.1,176,130,46,73.9,48,11,3,0.11,0,11,-13,0,5,0.098,25.66666667,37,-24,75,-8,5,26,26,0.06,-1,-1,7,2,180,944,0.002,27,5,-10,22,-2,7,-1,0.022,209,105,75,123,5,3,-3,125,78,-3,11,101,5,-4,-109,21,0.02,0.032,0.052,1,0.03,0.058,12,0,77,81,18,-0.002,2,-8,-3,1.5,59,46,13,2.1,18,3,-0.68,0,-7,4,0,-6,-0.047,7.666666667,-68,-22,-41,-20,-156,-92,-79,-0.1,0,3,1,14,-135,-1145,-0.01,-12,4,27,-7,-4,-7,-2,-0.014,-61,-5,-144,-61,-8,-5,-24,-151,-124,12,-9,-19,7,-41,-102,14,-0.035,-0.021,-0.056,-1,-0.044,-0.039,-7,-6,23,68,20,0.002,-5,-14,8,9.2,-77,-65,-12,-5,0,-2,-2
